,HGNC Symbol
10,CFH
12,GCLC
13,NFYA
16,LAS1L
19,CFTR
21,CYP51A1
28,DAO
30,HECW1
31,MAD1L1
32,LASP1
34,TMEM176A
35,M6PR
36,KLHL13
37,CYP26B1
40,ALS2
41,CASP10
43,TFPI
44,NDUFAF7
45,RBM5
47,SLC7A2
49,SARM1
51,PLXND1
56,RBM6
58,RECQL
59,VPS50
60,HSPB6
61,ARHGAP33
64,SLC22A16
66,ABCB5
70,CDC27
71,SLC4A1
72,CALCR
76,UPF1
78,SLC25A5
80,HOXA11
82,DHX33
84,THSD7A
86,RPAP3
87,ACSM3
92,COPZ2
93,PRKAR2B
94,MSL3
95,CREBBP
96,TSPOAP1
97,MPO
98,PON1
101,CROT
102,ABCB4
103,KMT2E
107,ZNF195
108,MYCBP2
109,FBXL3
110,ITGAL
112,ITGA3
113,ZFX
115,ITGA2B
116,ASB4
120,OSBPL7
124,MAP3K14
125,ABCC8
126,CACNG3
127,TMEM132A
132,SPATA20
133,CACNA1G
136,MAP3K9
139,KDM7A
140,ETV1
142,ALDH3B1
144,PHTF2
146,FARP2
147,USH1C
149,DBF4
150,TBXA2R
152,LGALS14
154,GTF2IRD1
156,VPS41
157,ARHGAP44
159,SCIN
160,ARSD
162,MYH13
163,ADIPOR2
167,MARK4
168,PROM1
173,DNAH9
176,GAS7
179,CEACAM7
180,CD79B
181,SCN4A
186,RHBDF1
189,BAIAP3
199,E2F2
202,JARID2
203,CDKL5
205,CDK11A
207,TFAP2B
208,TFAP2D
209,DLEC1
211,ADAM22
214,SPAG9
215,CELSR3
217,PLEKHG6
223,NFIX
225,MMP25
227,PKD1
228,MAPK8IP2
230,RHOBTB2
231,HEATR5B
232,SEC62
234,CSDE1
236,REV3L
237,TENM1
238,PAX7
239,MASP2
243,POMT2
246,BAZ1B
251,DYRK4
256,HHATL
257,NCAPD2
259,GIPR
262,NISCH
263,STAB1
265,SLC6A13
267,PRSS3
271,BTK
274,SLK
275,HIVEP2
278,LYPLA2
279,CLCN6
288,ANOS1
291,UTP18
300,ANLN
302,RABGAP1
303,DCN
306,CEP68
307,MAP4K3
308,MYNN
311,GABRA3
312,BRCA1
313,ERCC1
314,CD22
320,NR1H4
322,ALOX5
329,MAN2B2
333,MVP
337,CLK1
338,POLR3B
342,DDX11
346,CD6
350,ZC3H3
352,ACP3
357,CCDC88C
359,ZMYND11
360,WAS
361,DPEP1
364,NPC1L1
365,XYLT2
366,RGPD8
370,CHDH
372,CLCA1
379,RUFY3
380,CNTN1
382,WWTR1
385,ATP1A2
389,PHLDB1
390,MARCO
392,PRDM11
393,SYT13
394,SNAI2
395,CD74
396,HGF
399,ADGRA2
402,SAMD4A
403,RUNX3
404,MRE11
408,SLC7A9
409,SPAST
410,NRXN3
411,OSBPL5
412,AQR
414,C8B
416,RTF2
417,GABRA1
418,NLRP2
419,SLC45A4
421,ZNF839
422,ZDHHC6
423,GRAMD1B
424,RNH1
425,NDUFS1
426,RB1CC1
428,ALAS1
429,BIRC3
430,AKAP11
432,SNAPC1
439,UBR2
440,EHD2
441,DEPDC1
444,HSF2
446,HSD17B6
451,SEC63
458,KCNG1
460,SLAMF7
463,PRKCH
464,INSRR
465,IFNGR1
467,SH2D2A
471,POU2F2
472,BRD9
476,BCLAF1
478,ANK1
481,RABEP1
483,NUP160
485,MUSK
486,IKZF2
488,FAM13B
489,ARHGAP31
493,ARID4A
496,IFT88
497,ALG1
498,ZCCHC8
501,LRRC7
502,FUT8
508,APBA2
509,MAP2K3
513,RNF19A
516,MYOC
517,SH3YL1
518,FAM136A
519,VCL
520,DEPDC1B
522,NSMAF
526,RFC1
528,CUL3
529,MYOM2
533,VAT1
535,CASR
538,FLT4
539,NSUN2
543,METTL1
546,PI4K2B
547,BOD1L1
549,TLL1
550,EDC4
551,TRIO
552,VCAN
554,MSR1
556,MTREX
557,DNAH5
559,RIPOR1
560,C6
561,RAI14
562,SOX30
565,PHLPP2
569,CTNS
572,CDH10
573,INPP4A
575,PSMA4
576,MYO16
579,TNC
581,RIPOR3
583,AIFM2
586,RETSAT
587,CAPG
589,USH2A
590,ZPBP
591,TG
592,ADAM28
594,DCUN1D1
595,JADE2
601,CUL7
602,CTNNA1
604,CNTLN
605,EPHA3
611,MAGEE1
612,PREX2
614,YTHDC2
617,POLR2B
619,ARAP2
620,TPR
621,CP
622,KATNIP
624,XK
625,ANO2
629,ARHGAP6
630,FAM184B
632,GOPC
633,ROS1
634,USP28
635,HDAC9
636,TSPAN17
641,TNFRSF17
642,SNX29
647,VPS13D
649,FAM120A
651,COL9A2
654,ADAMTS6
657,PER3
659,TNFRSF9
661,LTBP1
665,ARID1B
667,NEDD4L
672,NEXMIF
675,ARHGEF5
676,NFE2L3
679,LETMD1
680,SLC4A8
681,LAMC3
682,PTGER3
685,COL23A1
686,BCAR1
688,HERPUD1
692,PIK3CB
696,MPHOSPH9
697,PLEKHA5
