,HGNC Symbol
2049,HSP90AB1
4101,LOX
10248,ARHGAP35
2058,JAK2
2060,ABL1
14348,PAK2
12305,MN1
18450,ETV5
16407,SRC
2071,NRP1
4121,ITK
32,LASP1
6178,MLLT1
16419,SND1
6181,AFDN
4136,DROSHA
14377,MB21D2
10282,U2AF1
12330,ZRSR2
8236,SDHC
18473,CEBPA
14383,PRF1
8241,PRCC
8250,ABL2
10301,RALGDS
16446,ZNF165
12353,SIN3A
10306,MCM3AP
16449,BLM
18498,LY75-CD302
16454,TRIM33
12359,RSPH10B2
4167,LIFR
10313,ZNF208
8268,SETDB1
2125,LZTR1
2128,SMARCB1
80,HOXA11
14423,CMTR2
4183,PDGFRB
8283,ARNT
2139,SUSD2
95,CREBBP
12390,PCBP1
2151,MAPK1
4203,BCL6
10353,ZBTB7B
6258,CLIP1
113,ZFX
8310,TPM3
16506,MYO5A
16508,ATG7
14463,NPM1
2175,PATZ1
10370,LMNA
12419,ASPSCR1
6274,ZNF331
12422,CNBP
6281,CASZ1
140,ETV1
10382,FGFR4
4240,GNAI2
4241,TFG
4245,NPRL2
6297,LATS1
4250,CBLB
16538,PDCD1LG2
10397,RECQL4
6303,RBM39
14497,SOX2
14510,SETD2
176,GAS7
180,CD79B
2228,NEFH
12472,BRD3
8377,EML4
16572,ZNF780A
8384,ASXL2
14528,PLAG1
2241,PDGFB
10436,PER1
10437,IKZF3
6342,TRAF3
2246,RBFOX2
14533,ZBTB20
10444,SRSF2
4300,NKTR
2256,MYH9
16597,UGT2B17
8419,AFF3
2277,EP300
6377,UBE2D2
238,PAX7
6386,TRAF7
4338,ACVR1
14585,IDH2
16634,KEL
6400,TOP2A
6402,RARA
2309,NIN
8454,ACKR3
16651,SIRPA
14605,CREB3L2
8462,FANCD2
271,BTK
4371,HTRA2
14615,RAD51B
6425,RHPN2
14619,EXT1
10529,NXF1
6434,DNAJB1
4386,FN1
2347,HIF1A
10542,TAL1
2354,DICER1
6451,PPARG
2357,TCL1A
312,BRCA1
2372,CCNB1IP1
2373,TRIP11
10566,JAK1
2377,ARHGAP5
16715,CARD11
16717,PEG3
8530,LPP
2387,NFKBIA
14676,FES
16727,DCAF12L2
4444,BIRC6
4448,STRN
14689,SATB1
16739,NTRK1
8550,FIP1L1
12647,KIF5B
6503,H3-3B
360,WAS
10607,FUBP1
12656,CHCHD7
16751,ZXDB
4463,SOS1
2420,NFATC2
12664,PPM1D
2424,SALL4
382,WWTR1
4480,EPAS1
4487,NFE2L2
4488,MSH6
8584,RPS3A
395,CD74
18828,CUX1
4495,BCL9
4496,PRRX1
10645,DDR2
14743,LCK
2455,PTK6
14746,RBM10
16796,MDM4
8606,PIK3R1
14752,RGS7
14754,ZNF721
6563,MUTYH
4518,RPL22
6567,RBM38
10662,RBM15
14761,EWSR1
8614,RASA1
429,BIRC3
2482,PLCB4
12723,ALK
2487,CRNKL1
440,EHD2
8633,ARHGAP26
4543,SFPQ
10694,REL
465,IFNGR1
471,POU2F2
14810,FANCF
476,BCLAF1
16861,MTOR
