Unnamed: 0,HGNC,Ensembl_ID,pathway_id,pathway_name,KEGG_ID,Level_0,Level_1,Level_2,Level_3,Level_4
0,A1CF,ENSG00000148584,R-HSA-72200,mRNA Editing: C to U Conversion,29974,0: 09182 Protein families: genetic information processing,1: 03019 Messenger RNA biogenesis [BR:hsa03019],2: 29974 (A1CF),,
1,A2M,ENSG00000175899,R-HSA-8963896,HDL assembly,4043,,,,,
2,A2ML1,ENSG00000166535,,,144568,0: 09181 Protein families: metabolism,1: 01002 Peptidases and inhibitors [BR:hsa01002],2: 144568 (A2ML1),,
3,A4GALT,ENSG00000128274,R-HSA-9840309,Glycosphingolipid biosynthesis,9334,0: 09181 Protein families: metabolism,1: 01003 Glycosyltransferases [BR:hsa01003],2: 9334 (B4GALT5),,
4,AAGAB,ENSG00000103591,,,79719,0: 09182 Protein families: genetic information processing,1: 04131 Membrane trafficking [BR:hsa04131],2: 79719 (AAGAB),,
5,AAMP,ENSG00000127837,R-HSA-177929,Signaling by EGFR,14,0: 09183 Protein families: signaling and cellular processes,1: 04990 Domain-containing proteins not elsewhere classified [BR:hsa04990],2: 14 (AAMP),,
6,AARSD1,ENSG00000108825,,,100885850,0: 09182 Protein families: genetic information processing,1: 03016 Transfer RNA biogenesis [BR:hsa03016],2: 100885850 (PTGES3L-AARSD1),,
7,AATK,ENSG00000181409,,,388428,,,,,
8,ABCA1,ENSG00000165029,R-HSA-8963896,HDL assembly,10349,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 10349 (ABCA10),,
9,ABCA2,ENSG00000107331,R-HSA-1369062,ABC transporters in lipid homeostasis,20,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],,,
10,ABCA3,ENSG00000167972,R-HSA-5683678,Defective ABCA3 causes SMDP3,21,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 21 (ABCA3),,
11,ABCA4,ENSG00000198691,R-HSA-9918454,Defective visual phototransduction due to ABCA4 loss of function,24,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 24 (ABCA4),,
12,ABCA6,ENSG00000154262,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",23460,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 23460 (ABCA6),,
13,ABCA7,ENSG00000064687,R-HSA-1369062,ABC transporters in lipid homeostasis,10347,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 10347 (ABCA7),,
14,ABCA8,ENSG00000141338,R-HSA-382556,ABC-family proteins mediated transport,10351,0: 09183 Protein families: signaling and cellular processes,1: 02000 Transporters [BR:hsa02000],2: 10351 (ABCA8),,
